show_id,note_seq,note
"2004-02-11_-_Dennis_Kucinich_Headquarters_-_San_Francisco,_CA",1,A video recording of the entire show is viewable on YouTube here .
"2009-11-04_-_Ladies_Literary_Club_-_Calvin_College_-_Grand_Rapids,_MI",1,"John played songs 9 through 11 solo on guitar, and songs 8 and 19 solo on piano."
"2009-11-04_-_Ladies_Literary_Club_-_Calvin_College_-_Grand_Rapids,_MI",2,"John also played piano on songs 5 and 6, accompanied by his full band on the former and Final Fantasy on the latter."
"2009-11-04_-_Ladies_Literary_Club_-_Calvin_College_-_Grand_Rapids,_MI",3,"Song 7 featured Final Fantasy on strings, and John only singing vocals."
"2009-11-04_-_Ladies_Literary_Club_-_Calvin_College_-_Grand_Rapids,_MI",4,Perry Wright of The Prayers and Tears of Arthur Digby Sellers also played with the full band.
"2009-11-05_-_The_Metro_-_Chicago,_IL",1,Owen Pallett of Final Fantasy played on songs 10 through 12.
"2009-11-05_-_The_Metro_-_Chicago,_IL",2,Perry Wright of The Prayers and Tears of Arthur Digby Sellers also played with the full band.
"1998-04-12_-_Brownie's_-_New_York_City,_NY",1,Alastair Galbraith played on songs 20 and 21.
"2009-11-06_-_High_Noon_Saloon_-_Madison,_WI",1,Songs 7 and 8 were performed by John solo.
"2009-11-06_-_High_Noon_Saloon_-_Madison,_WI",2,Owen Pallet of Final Fantasy performed on songs 9 through 11.
"2009-11-07_-_Cedar_Cultural_Centre_-_Minneapolis,_MN",1,"""Going to Bristol"" was performed with Owen Pallet of Final Fantasy."
"1996-09-03_-_Fletcher's_-_Baltimore,_MD",1,Alastair Galbraith played on songs 12 through 16.
"1996-09-03_-_Fletcher's_-_Baltimore,_MD",2,""" The New Potatoes "" was played as a soundcheck."
"2009-11-10_-_The_Showbox_-_Seattle,_WA",1,Songs 7 through 10 were performed by John solo.
"2009-11-10_-_The_Showbox_-_Seattle,_WA",2,Owen Pallet of Final Fantasy performed on songs 11 through 13.
"2005-10-31_-_Knitting_Factory_-_New_York,_NY",1,Songs 12—15 and 17 were played with the Prayers and Tears of Arthur Digby Sellers .
"2009-11-14_-_The_Fillmore_-_San_Francisco,_CA",1,Songs 7 through 13 were performed by John solo.
"2009-11-14_-_The_Fillmore_-_San_Francisco,_CA",2,Owen Pallet of Final Fantasy performed on songs 14 through 16.
"2009-11-18_-_Antones_-_Austin,_TX",1,Songs 6 through 10 were performed by John Darnielle solo.
"2009-11-18_-_Antones_-_Austin,_TX",2,Owen Pallett of Final Fantasy performed on songs 11 through 13.
"2013-07-26_-_Newport_Folk_Festival_-_Newport,_RI",1,John 's solo set was songs 7 and 8.
"2005-10-20_-_Uptown_Theatre_-_Washington,_PA",1,Songs 14 through 16 were played with the Prayers and Tears of Arthur Digby Sellers .
"2013-07-28_-_Bele_Chere_Festival_-_Asheville,_NC",1,"This is the first time "" Animal Mask "" was introduced with the correct name."
"2009-11-27_-_9:30_Club_-_Washington,_D.C.",1,Owen Pallett of Final Fantasy played on songs 12 and 19.
"2009-11-27_-_9:30_Club_-_Washington,_D.C.",2,John 's solo set was songs 8 through 11.
"2009-11-27_-_9:30_Club_-_Washington,_D.C.",3,"John played ""Enoch 18:14"" accompanied only by drummer Jon Wurster ."
"2009-11-28_-_Theater_of_Living_Arts_-_Philadelphia,_PA",1,"Owen Pallett of Final Fantasy played on songs 12, 13, and 19."
"2009-11-28_-_Theater_of_Living_Arts_-_Philadelphia,_PA",2,John 's solo set was songs 8 through 11.
"2009-11-28_-_Theater_of_Living_Arts_-_Philadelphia,_PA",3,"John played ""Enoch 18:14"" accompanied only by drummer Jon Wurster ."
"2009-11-29_-_Wilbur_Theatre_-_Boston,_MA",1,"Owen Pallett of Final Fantasy played on songs 13, 14, 15, and 21."
"2009-11-29_-_Wilbur_Theatre_-_Boston,_MA",2,John 's solo set was songs 9 through 12.
"1996-02-25_-_Tower_Musikclub_-_Bremen,_Germany",1,John Darnielle played songs 1 through 5 solo. Peter Hughes joined him for songs 6 through 11.
"2005-07-04_-_Fulton_Mall_Parking_Garage_-_Brooklyn,_NY",1,This was a John Darnielle solo show.
"2005-07-02_-_Old_American_Can_Factory_-_Brooklyn,_NY",1,This was a John Darnielle solo show.
"2009-12-16_-_Second_City_-_Chicago,_IL",1,"This show was part of ""The Second City That Never Sleeps: Letters to Santa"", a 24-hour charity event to raise money for Letters to Santa."
"2010-03-11_-_Memorial_Union_Building_-_University_of_New_Hampshire_-_Durham,_NH",1,Songs 9—11 and 24 were played on the piano.
"2005-10-27_-_Remis_Auditorium_-_Museum_of_Fine_Arts_-_Boston,_MA",1,"Songs 13, 14, and 16 were played with the Prayers and Tears of Arthur Digby Sellers ."
"2005-06-21_-_WOW_Hall_-_Eugene,_OR",1,Jeff McLeod from The Double played the drums on songs 11 and 12.
