song_key,song_title,n_plays,first_t,first_played,last_played,album,is_cover,opportunities,play_rate,play_rate_shrunk,deep_cut,surprisal
The Great Gold Sheep,The Great Gold Sheep,1,988,2020-06-15,2020-06-15,Getting Into Knives,False,323,0.0030959752321981426,0.004656362293345248,False,5.36952075943561
Tug on the Line,Tug on the Line,1,461,2010-10-23,2010-10-23,Undercard,False,850,0.001176470588235294,0.0018357842145027817,True,6.3002835239183
Aisles,Aisles,1,84,2001-04-21,2001-04-21,Jam Eater Blues (EP),False,1227,0.0008149959250203749,0.0012807796845368245,True,6.660286257949707
Agemo's Hoops,Agemo's Hoops,1,16,1995-04-15,1995-04-15,Unreleased,False,1295,0.0007722007722007722,0.0012145492521805476,True,6.713382256881535
Whon,Whon,1,386,2009-06-13,2009-06-13,Unreleased,False,925,0.001081081081081081,0.0016900870546216085,True,6.382975239763413
Water Song II,Water Song II,1,762,2016-04-17,2016-04-17,Hot Garden Stomp,False,549,0.0018214936247723133,0.002806910837640457,True,5.875670746396001
Ain't Misbehavin',Ain't Misbehavin',1,890,2018-04-22,2018-04-22,unreleased,True,421,0.0023752969121140144,0.003621615117046304,False,5.620835187716517
The Last Place I Saw You Alive,The Last Place I Saw You Alive,1,997,2021-04-18,2021-04-18,Getting Into Knives,False,314,0.0031847133757961785,0.00478183313358509,False,5.3429313052463705
Who You Are,Who You Are,1,674,2014-07-25,2014-07-25,Who You Are,True,637,0.0015698587127158557,0.002430947133359848,False,6.019474330754281
The Mad Clarinet,The Mad Clarinet,1,46,1997-04-04,1997-04-04,Unreleased,True,1265,0.0007905138339920949,0.0012429044876400156,False,6.69030430959899
The New Potatoes,The New Potatoes,1,46,1997-04-04,1997-04-04,Unreleased,False,1265,0.0007905138339920949,0.0012429044876400156,True,6.69030430959899
Wrong!,Wrong!,1,664,2014-06-13,2014-06-13,Taking the Dative,False,647,0.0015455950540958269,0.0023945011493514546,True,6.034580358185294
The Monolith,The Monolith,1,566,2012-09-07,2012-09-07,,True,745,0.0013422818791946308,0.0020877545968855165,False,6.171666146096206
What Have You Done to the Magician?,What Have You Done to the Magician?,1,1019,2021-09-09,2021-09-09,Unreleased,False,292,0.003424657534246575,0.005119013675055834,False,5.274793500079153
Werewolves of London,Werewolves of London,1,726,2015-10-09,2015-10-09,Unreleased,False,585,0.0017094017094017094,0.002639888043995736,True,5.9370187703005115
We Bite,We Bite,1,301,2007-11-15,2007-11-15,Unreleased,True,1010,0.0009900990099009901,0.001550613851084874,False,6.469104393493351
All of You,All of You,1,984,2020-02-20,2020-02-20,unreleased,False,327,0.0030581039755351682,0.00460268664731245,False,5.38111509221653
We Don't Need the Men,We Don't Need the Men,1,794,2016-12-16,2016-12-16,Unreleased,True,517,0.0019342359767891683,0.0029741755430491997,False,5.817788406778535
All for the Best,All for the Best,1,1153,2023-10-07,2023-10-07,Unreleased,False,158,0.006329113924050633,0.008972653183243933,False,4.713573862561756
Wait for You,Wait for You,1,798,2017-04-07,2017-04-07,Babylon Springs EP,False,513,0.001949317738791423,0.002996495809788781,True,5.810311736435515
Venus,Venus,1,509,2011-07-13,2011-07-13,Unreleased,False,802,0.0012468827930174563,0.0019429832927219223,True,6.24353070732585
Wild World,Wild World,1,70,1999-01-29,1999-01-29,Unreleased,True,1241,0.0008058017727639,0.001266560084549897,False,6.67145064823459
Barracuda,Barracuda,1,961,2019-09-10,2019-09-10,unreleased,True,350,0.002857142857142857,0.004316573693560595,False,5.44529331790794
Word on a Wing,Word on a Wing,1,747,2016-03-31,2016-03-31,Unreleased,True,564,0.0017730496453900709,0.002734815525029829,False,5.901691295097898
Birthday Song (This Time Has Gone),Birthday Song (This Time Has Gone),1,24,1996-02-26,1996-02-26,Unreleased,False,1287,0.000777000777000777,0.0012219833715512013,True,6.707280025893892
Anchorless,Anchorless,1,38,1996-11-09,1996-11-09,Unreleased,True,1273,0.0007855459544383347,0.0012352144366724054,False,6.696510691041528
The Tower,The Tower,1,545,2012-04-19,2012-04-19,Unreleased,True,766,0.0013054830287206266,0.0020319748939152927,False,6.198747104698877
The Muffin Man,The Muffin Man,1,651,2014-04-15,2014-04-15,Unreleased,True,660,0.0015151515151515152,0.002348723921496206,False,6.0538831104398225
The Great and Terrible George Jones Car Accident of 1999,The Great and Terrible George Jones Car Accident of 1999,1,172,2005-03-23,2005-03-23,Unreleased,False,1139,0.000877963125548727,0.0013780261144240036,True,6.587103155609422
Uncle John's Band,Uncle John's Band,1,648,2014-01-19,2014-01-19,Unreleased,True,663,0.0015082956259426848,0.002338407418180703,False,6.058285171840461
Bird on the Wire,Bird on the Wire,1,876,2017-12-03,2017-12-03,Unreleased,True,435,0.0022988505747126436,0.0035101808057525718,False,5.652087731220621
The Smokey Life,The Smokey Life,1,526,2012-01-17,2012-01-17,Unreleased,True,785,0.0012738853503184713,0.001984015238034062,False,6.222632589688234
Wizard Level,Wizard Level,1,749,2016-04-02,2016-04-02,Unreleased,False,562,0.0017793594306049821,0.002744213516524777,True,5.898260760001108
Unknown cover song,Unknown cover song,1,307,2008-02-19,2008-02-19,Unreleased,False,1004,0.00099601593625498,0.0015596994791185744,True,6.463262117869124
The Jungle,The Jungle,1,394,2009-10-11,2009-10-11,Unreleased,False,917,0.0010905125408942203,0.0017045168266994878,True,6.374473594508093
Wish You Were Here,Wish You Were Here,1,743,2016-02-27,2016-02-27,Unreleased,True,568,0.0017605633802816902,0.002716211337784728,False,5.908517260168297
Bare Grace Misery,Bare Grace Misery,1,566,2012-09-07,2012-09-07,,True,745,0.0013422818791946308,0.0020877545968855165,False,6.171666146096206
Wind Beneath My Wings,Wind Beneath My Wings,1,803,2017-04-12,2017-04-12,Unreleased,False,508,0.001968503937007874,0.003024871717078447,True,5.800886595975932
This Is Heaven,This Is Heaven,1,1112,2023-02-18,2023-02-18,Unreleased,True,199,0.005025125628140704,0.007292841400079544,False,4.9208620420861715
Sacrifice,Sacrifice,1,105,2002-10-23,2002-10-23,We Shall All Be Healed,False,1206,0.0008291873963515755,0.001302717998872284,True,6.643302428765827
Teenage World,Teenage World,1,665,2014-06-14,2014-06-14,Transmissions to Horace,False,646,0.0015479876160990713,0.002398096496422553,True,6.033079982810059
Mamas Don't Let Your Babies Grow Up to Be Cowboys,Mamas Don't Let Your Babies Grow Up to Be Cowboys,1,713,2015-06-08,2015-06-08,Unreleased,True,598,0.0016722408026755853,0.00258435641847479,False,5.958278769727361
Goblin Wizard in the Crawlspace of My Heart,Goblin Wizard in the Crawlspace of My Heart,1,973,2019-11-15,2019-11-15,unreleased,False,338,0.0029585798816568047,0.004461263314573799,False,5.412323298670371
Going Through Pomona,Going Through Pomona,1,138,2004-02-01,2004-02-01,Unreleased,False,1173,0.0008525149190110827,0.0013387529477094887,True,6.616016734367586
Minor Joan Crawford Vehicle,Minor Joan Crawford Vehicle,1,366,2009-02-04,2009-02-04,Unreleased,False,945,0.0010582010582010583,0.001655059343644995,True,6.403918413608657
Going Underground,Going Underground,1,974,2019-11-16,2019-11-16,unreleased,False,337,0.002967359050445104,0.004473759850468964,False,5.409526094049309
Migrations,Migrations,1,673,2014-06-27,2014-06-27,Unreleased,True,638,0.001567398119122257,0.002427252684828906,False,6.020995243594988
Going to Buffalo,Going to Buffalo,1,20,1995-09-21,1995-09-21,Unreleased,False,1291,0.000774593338497289,0.0012182549707226698,True,6.7103357960333705
Going to California,Going to California,1,5,1992-12-06,1992-12-06,Unreleased,False,1306,0.0007656967840735069,0.0012044738058954903,True,6.721712483015478
