song_key,song_title,n_main,n_encore,is_cover,n_tracked_plays,encore_rate,encore_rate_shrunk,eligible
My Mask,My Mask,1,0,False,1,0.0,0.19240143369175627,False
Light of the World,Light of the World,1,0,False,1,0.0,0.19240143369175627,False
Love Hymn to Aphrodite,Love Hymn to Aphrodite,1,0,False,1,0.0,0.19240143369175627,False
In the Cane Fields,In the Cane Fields,1,0,False,1,0.0,0.19240143369175627,False
My Dinner Plate Has a Cat On It,My Dinner Plate Has a Cat On It,0,1,False,1,1.0,0.3035125448028674,False
Mourn Not the Dead,Mourn Not the Dead,1,0,True,1,0.0,0.19240143369175627,False
Neon Orange Glimmer Song,Neon Orange Glimmer Song,1,0,False,1,0.0,0.19240143369175627,False
Passaic 1975,Passaic 1975,1,0,False,1,0.0,0.19240143369175627,False
Peacocks,Peacocks,1,0,False,1,0.0,0.19240143369175627,False
Pet Politics,Pet Politics,1,0,True,1,0.0,0.19240143369175627,False
Going Underground,Going Underground,1,0,False,1,0.0,0.19240143369175627,False
Going the Ways,Going the Ways,1,0,False,1,0.0,0.19240143369175627,False
Shower,Shower,1,0,False,1,0.0,0.19240143369175627,False
The Autopsy Garland,The Autopsy Garland,1,0,False,1,0.0,0.19240143369175627,False
Tall Tall Trees,Tall Tall Trees,1,0,True,1,0.0,0.19240143369175627,False
Tallahasee,Tallahasee,1,0,False,1,0.0,0.19240143369175627,False
Sun Song,Sun Song,1,0,False,1,0.0,0.19240143369175627,False
