city,n_shows,raw_mean_bits,shrunk_mean_bits,lat,lon
Montreal,5,2.104243652681879,2.4361677162188506,43.70643,-79.39864
Phoenix,4,2.007903676771881,2.431714729543599,33.44838,-112.07404
Toronto,8,2.2188341947854915,2.4312272253574747,43.70643,-79.39864
Grand Rapids,4,2.0032984119802686,2.4301796412797283,42.96336,-85.66809
Asbury Park,2,1.5705100964433267,2.428998224032232,40.22039,-74.01208
San Diego,3,1.8409750589597902,2.424717020392276,32.71571,-117.16472
San Antonio,4,1.9745021711120114,2.4205808943236424,29.42412,-98.49363
Hobart,1,0.6062739264108984,2.417248441538507,-42.87936,147.32941
Kansas City,3,1.808378462354458,2.4158270394999124,39.09973,-94.57857
Oklahoma City,4,1.9574330054627516,2.4148911724405555,35.46756,-97.51643
Orlando,8,2.181768222411595,2.412694239170526,28.53834,-81.37924
Madison,7,2.13591236419124,2.406689906451623,43.07305,-89.40123
Birmingham,6,2.0900598733525526,2.4063800919679275,33.52066,-86.80249
Austin,19,2.3059185559080375,2.4059783188773474,30.26715,-97.74306
Dallas,8,2.15929993510513,2.401460095517294,32.78306,-96.80667
Houston,6,2.0728321885989653,2.398996798502104,29.76328,-95.36327
Ithaca,4,1.8944991808815759,2.393913230913497,42.44063,-76.49661
Sioux Falls,2,1.3930884798638627,2.393513900716339,43.54997,-96.70033
Cleveland,6,2.052625322820059,2.390336713168287,41.4995,-81.69541
San Sebastian,1,0.3625633051173268,2.390169483616999,40.4165,-3.70256
Glasgow,6,2.0505702266809607,2.3894559576801018,55.86515,-4.25763
Manchester,8,2.128554132530977,2.3860871942302175,53.48095,-2.23743
Millvale,6,2.0265809525752876,2.3791748402062423,39.95238,-75.16362
Spokane,3,1.6492672685850123,2.372433077562791,47.65966,-117.42908
New Orleans,5,1.9270313548767084,2.368009140139939,29.95465,-90.07507
Missoula,3,1.6178674190147488,2.3638694822254465,46.87215,-113.994
New Haven,6,1.9736369146826584,2.356484538252258,41.30815,-72.92816
Tucson,4,1.7361279286182507,2.341122813492389,32.22174,-110.92648
Columbia,7,1.976262448589953,2.3321866125043558,38.95171,-92.33407
Jersey City,4,1.6338959445741235,2.30704548547768,40.72816,-74.07764
Cincinnati,8,1.9347291787991943,2.289174717364326,39.12711,-84.51439
Boise,4,1.5240525860675103,2.270431032642142,43.6135,-116.20345
Boston,14,2.0416745441338007,2.260563893877676,42.35843,-71.05977
Cambridge,6,1.4930184592573976,2.150505200212861,42.3751,-71.10561
